,Unnamed: 0,Index,Cities,Recipient Name,Lat,Lon,Long Description,Value,YEAR,duplicate_project,City,Donor Agency
0,0,6.0,Berat,Albania,40.7049677,19.95438104312952,"The programme finances investments to improve water supply and sewerage disposal systems for the Albanian cities Berat, Fier, Kamza, Kucova, Lushnja and Saranda.",0.01162553,2018.0,yes,Berat,Kreditanstalt für Wiederaufbau
1,1,9.0,Berat,Albania,40.7049677,19.95438104312952,"The programme finances investments to improve water supply and sewerage disposal systems for the Albanian cities Berat, Fier, Kamza, Kucova, Lushnja and Saranda.",0.00298021,2018.0,yes,Berat,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
2,2,12.0,Tirana,Albania,41.3305141,19.82556285758297,400 kV Transmission Line Albania-Kosovo (Tirana - Prishtina),1.79538335,2018.0,no,Tirana,Kreditanstalt für Wiederaufbau
3,3,16.0,Tuzla,Bosnia and Herzegovina,44.5391105,18.675193,"Rehabilitation and construction of water supply and sewage systems,consultancy services in the Municipalities of Tuzla and Zenica.",0.25982872,2018.0,yes,Tuzla,Kreditanstalt für Wiederaufbau
4,4,46.0,Damietta,Egypt,31.4167427,31.8213657,"Improvement of the water and wastewater services in the Governorates of Behira, Sharkia, Gharbia and Damietta",3.80847846,2018.0,no,Damietta,Kreditanstalt für Wiederaufbau
5,5,47.0,Damietta,Egypt,31.4167427,31.8213657,"Improvement of the water and waste water services in the Governorates of Behira, Gharbia, Sharkia and and Damietta.",3.80949519,2018.0,no,Damietta,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
6,6,51.0,Aswan,Egypt,24.091071,32.897306,"The project aims at ensuring the operational security of important hydropower plants in Egypt, such as in Aswan, to secure supply and avoidance of CO2 emission through alternative thermal generations.",1.02967474,2018.0,no,Aswan,Kreditanstalt für Wiederaufbau
7,7,64.0,Taroudant,Morocco,30.470651,-8.877922,"Financial contribution shall help to provide 65,000 Moroccans in the provinces Taroudant and Tiznit with hygienic drinking water. This is to achieve by rehabilitating rural water supply systems.",0.10325666,2018.0,yes,Taroudant,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
8,8,67.0,Taroudant,Morocco,30.470651,-8.877922,Enhancing Drinking Water Supply in Taroudant,0.28276732,2018.0,no,Taroudant,Kreditanstalt für Wiederaufbau
9,9,75.0,Kairouan,Tunisia,35.6710101,10.10062,"Assainissement Sousse,Kairouan,Nefza",0.2690267,2018.0,no,Kairouan,Kreditanstalt für Wiederaufbau
10,10,77.0,Béja,Tunisia,36.746230350000005,9.203232836920057,The Rural water supply Béja is to sustainably ensure the drinking water supply of about 100 scattered settlements in the project area through the use of hygienically treated surface water.,2.37767361,2018.0,no,Béja,Kreditanstalt für Wiederaufbau
11,11,80.0,Sousse,Tunisia,35.8288175,10.6405392,Extension and reconstruction of the purification plants Sousse and Kairouan in order to enable a sound sewage disposal in the regions.,2.55178976,2018.0,yes,Sousse,Kreditanstalt für Wiederaufbau
12,12,84.0,Tunis,Tunisia,33.8439408,9.400138,Rehabilitation of two irrigation perimeters in the surroundings of Tunis in order to take advantage of unused potentials.,0.98851653,2018.0,no,Tunis,Kreditanstalt für Wiederaufbau
13,13,92.0,Nairobi,Kenya,-1.2832533,36.8172449,"The aim is to improve the water supply in Nairobi, the capital of Kenya",2.47251113,2018.0,no,Nairobi,Kreditanstalt für Wiederaufbau
14,14,118.0,Granada,Nicaragua,11.8134002,-85.9031625,"The aim of the FZ - measure is a continuous , hygienic and environmentally safe and economically efficient water supply and sanitation of the city of Granada",2.48727513,2018.0,no,Granada,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
15,15,120.0,La Paz,Bolivia,-16.4955455,-68.1336229,"Aim of the project is to improve water supply and sewerage disposal systems for the poorer population living in the peri-urban areas of La Paz/El Alto, Santa Cruz and Cochabamba.",3.19891402,2018.0,yes,La Paz,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
16,16,130.0,Lima,Peru,-12.0621065,-77.0365256,Financial contribution shall improve and rehabilitate water and sewage disposal in Lima in order to induce a sustainable management of water resources.,1.31829243,2018.0,no,Lima,Kreditanstalt für Wiederaufbau
17,17,136.0,Hefei,China,31.8228094,117.2218033,"Financing of the construction and erecting of an waste incineration plant in Hefei, Anhui Province",0.00663863,2018.0,no,Hefei,Kreditanstalt für Wiederaufbau
18,18,163.0,Chongqing,China,29.5647398,106.5478767,"Financing of the procurement of teaching and training equipment for Chongqing Industry Polytechnic College, Chongqing College of Electronic Egineering, Chongqing Institute of Engineering and Chongqing",1.20918184,2018.0,no,Chongqing,Kreditanstalt für Wiederaufbau
19,19,165.0,Chengde,China,40.9507147,117.9567031,The promotional loan of 20mil EUR shall be used to finance the expansion and equipment of the Affiliated Hospital of Chengde thereby enhancing treatment capacities and possibilities.,0.51286911,2018.0,no,Chengde,Kreditanstalt für Wiederaufbau
20,20,168.0,Hegang,China,47.328863,130.2816917,Financing of a new hospital near the city of Hegang and its facilities with medical equipment,1.01152962,2018.0,no,Hegang,Kreditanstalt für Wiederaufbau
21,21,186.0,Beijing,China,39.906217,116.3912757,Financing of the Waste Incineration Plant Nangong in Beijing and related consulting services,2.34474956,2018.0,no,Beijing,Kreditanstalt für Wiederaufbau
22,22,215.0,Hanoi,Vietnam,21.0294498,105.8544441,Finance the expansion and modernization of the transmission and distribution networks in metropolitan areas Hanoi and Ho Chi Minh,9.3893652,2018.0,no,Hanoi,Kreditanstalt für Wiederaufbau
23,23,232.0,Ganja,Azerbaijan,40.6782547,46.35732298444202,Improving water supply and sewage disposal in Ganja and Sheki by constructing new water production systems and rehabilitating transition lines.,4.61523972,2018.0,yes,Ganja,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
24,24,234.0,Ganja,Azerbaijan,40.6782547,46.35732298444202,"Open Municipal Infrastructure Programme II, Phase 3 (Ganja/Sheki AE-KA)",3.38164634,2018.0,yes,Ganja,Kreditanstalt für Wiederaufbau
25,25,236.0,Batumi,Georgia,41.6509502,41.6360085,"Continuous and demand as well as efficient and cost-covering supply of the population Batumi , Chakvi the villages and the southern villages",2.24669389,2018.0,no,Batumi,Kreditanstalt für Wiederaufbau
26,26,245.0,Nagpur,India,21.1498134,79.0820556,Financing of goods and services to construct the  in Nagpur,58.04468952,2018.0,no,Nagpur,Kreditanstalt für Wiederaufbau
27,27,264.0,Galle,Sri Lanka,6.0328139,80.214955,Maternity Hospital Galle,0.65054752,2018.0,no,Galle,Kreditanstalt für Wiederaufbau
28,28,268.0,Amman,Jordan,31.9515694,35.9239625,"The programme takes on measures for systematic water loss reduction in the middle and northern governorates and Amman, as well as for wastewater purification and reuse.",0.20922504,2018.0,no,Amman,Kreditanstalt für Wiederaufbau
