,Index,Cities,Recipient Name,Lat,Lon,Long Description,Value,YEAR,Donor Agency,duplicate_project,City
0,0.0,Sava,Madagascar,-14.2938722,49.7734024,"The project ""Electrification of Rural Regions through Renewable Energies"" aims to achieve an ""ecologically and economically sustainable supply of electricity generated from renewable energies to previously unelectrified rural regions"". ŒThe project executing agency is the Agence de Développement de l'Electrification Rurale (ADER), which is responsible for the electrification of rural regions in Madagascar. The project is part of a larger rural electrification programme of ADER and will finance and support the implementation of two of the three regional power supply systems planned for the Sava region. The project is being implemented as a public-private partnership (PPP) project, under which several hydropower plants with a total capacity of about 6 MW and the associated power supply networks are to be planned, (partly) financed, built and operated by private sector companies on the basis of 25-year concessions. Œ ŒThe central target group is the population in rural areas outside the interconnected grid of the state power utility JIRAMA, i.e. predominantly poorer sections of the population with little to no access to modern energy/electricity. The project also aims to promote local businesses and traders that contribute to the creation of employment and income opportunities for the local population. In addition, institutional and organisational support for central sector institutions is to be provided through a complementary measure. ŒFC primarily provides funds to subsidise the investment costs of the projects through the ADER. This is intended to enable electricity tariffs to be set in such a way that the electricity is affordable for end customers and the resulting income is sustainably sufficient for the concessionaires. ŒThe total cost of the project is estimated at around EUR 26 million. FC funds are to provide a financial contribution of EUR 14 million, the concessionaires are to contribute about EUR 9 million and the Malagasy state about EUR 3 million. For a planned complementary measure (BM), additional FC funds of EUR 1 million are proposed for financing. Œ ŒThe total period of project implementation (from the time the financing contract is signed) is estimated at about 42 months.",0.0,2022.0,BMZ,no,Sava
1,13.0,Valledupar,Colombia,10.4651733,-73.2529512,Strengthening the economic autonomy and socio-cultural participation of Afro-Colombian women and families in Valledupar,0.0007081,2022.0,BMZ,no,Valledupar
2,15.0,Warendorf,South Africa,,,Vocational Training Partnership between the Kreishandwerkerschaft Steinfurt Warendorf and the Motheo TVET College in Bloemfontein in South Africa,0.0008,2022.0,BMZ,yes,Warendorf
3,18.0,Mangochi,Malawi,-14.140600599999999,35.32634099117331,"The objective of the project ""Social protection of the absolutely poor VI"" is to help households in seven districts of Malawi that meet the criteria ""ultra poor"" and ""labor constrained"" and belong to the poorest 10% of households to escape absolute poverty by means of regular cash transfer payments. The project is a conceptual continuation of the FC projects ""Social protection of the absolutely poor I, II, III, IV and V"". ŒWith the available FC funds totaling EUR 8 million, the target group households in the districts of Machinga, Mangochi, Mchinji, Salima, Likoma, Chitipa and Phalombe can be supported through regular transfers presumably until Q1 / 2023. The project is divided into the following three components: (1) an investment component to finance the transfers and related operational costs, (2) a technical component to support the executing ministry (MGCDSW), particularly in the establishment and operation of a management information system and adequate disbursement structures (including potential introduction of ""e-payments""), (3) a component to provide complementary support to the program (M&E activities, targeting, etc.). This approach is consistent with national poverty reduction efforts. It supports Malawi's most vulnerable population and enables better livelihoods through regular income. Œ ŒBy providing additional targeted support for the education of children and adolescents, who make up around 70% of the target group, this project also contributes to strengthening human capital and thus to the sustainable social and economic development of the country. Œ",0.0657183565,2022.0,BMZ,yes,Mangochi
4,21.0,Addis Ababa,Ethiopia,9.0107934,38.7612525,"Promoting Opportunities for Women Empowerment and Reduction of Poverty (POWER-P) in Arada, Addis Ababa",0.0,2022.0,BMZ,no,Addis Ababa
5,26.0,Cap-Haïtien,Haiti,19.7595236,-72.2008068,"Vocational and agricultural training for young people for integration into the labour market, Cap-Haïtien",0.0017409,2022.0,BMZ,no,Cap-Haïtien
6,33.0,Kampala,Uganda,0.3177137,32.5813539,Improving access to the labor market for Kampala youth.,0.000332025,2022.0,BMZ,no,Kampala
7,42.0,Dailekh,Nepal,28.885064550000003,81.69971652575865,Climate-resilient livelihoods for communities in Dailekh and Surkhet districts of Karnali Province,0.0,2022.0,BMZ,no,Dailekh
8,59.0,Lubumbashi,Democratic Republic of the Congo,-11.6642316,27.4826264,Strengthening of basic health care services in the Archdiocese of Lubumbashi,0.0064034967000000005,2022.0,BMZ,no,Lubumbashi
9,74.0,Rio de Janeiro,Brazil,-22.9110137,-43.2093727,Strengthening the socio-economic autonomy of smallholder women farmers and enhancing food security in peripheral poor neighbourhoods in Rio de Janeiro,0.00045,2022.0,BMZ,no,Rio de Janeiro
